price,location,ratings,type,,,,,closed,,bar,nonsmoking,room,spa,teacoffee,wifi,,swimming,,,swimming,,restaurants,,,,restaurants,air,airconditioning,airport,airportshuttle,all,allrooms,and,andwellness,bar,barbreakfast,barsuperb,breakfast,centre,centrefitness,centrerestaurant,centreroom,closed,closed,conditioning,conditioningbreakfast,conditioninghousekeeping,conditioningteacoffee,conditioningterrace,desk,deskair,deskbar,deskbreakfast,desklift,desksuperb,deskteacoffee,facilities,facilitiesfor,family,familyrooms,fitness,fitnesscentre,for,forguests,front,frontdesk,guests,guestsbar,guestsdesk,guestsfamily,guestsfront,guestsrooms,gueststeacoffee,housekeeping,housekeepingbreakfast,in,inall,lift,liftair,maker,makerin,nonsmoking,nonsmokingrooms,parking,parkingairport,parkingbar,parkingfacilities,parkingfamily,parkingfront,parkingnonsmoking,parkingroom,parkingrooms,parkingteacoffee,pool,pool,poolairport,poolfitness,poolroom,poolspa,poolwifi,pools,poolsspa,poolswifi,restaurant,restaurantparking,restaurantwifi,restaurants,restaurants,room,roomservice,rooms,roomsbar,roomsbreakfast,roomsdesk,roomsfacilities,roomsfamily,roomsfront,roomsparking,roomsrestaurant,roomsrooms,roomssuperb,roomsteacoffee,service,service,service,serviceairport,servicebreakfast,servicefacilities,servicefitness,serviceparking,servicerestaurant,servicerooms,servicewifi,shuttle,shuttle,shuttlebar,shuttlefacilities,shuttlefamily,shuttlefitness,shuttleroom,shuttlerooms,shuttlespa,shuttleteacoffee,shuttlewifi,spa,spaand,superb,superbbreakfast,swimming,swimmingpool,swimmingpools,teacoffee,teacoffeemaker,terrace,terracebreakfast,wellness,wellnesscentre,wifi,wifiair,wifiairport,wifibreakfast,wififacilities,wififamily,wififront,wifiparking,wifirestaurant,wifirooms,wifiteacoffee
4355,24,7.9,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2718532889061669,0.2718532889061669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09395567057966753,0.0,0.0,0.0,0.0,0.0,0.0,0.2718532889061669,0.366851890731182,0.0,0.0,0.0,0.14781540606559743,0.0,0.0,0.0,0.33996526141716804,0.0,0.0,0.0,0.0,0.14121689956676048,0.14121689956676048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33996526141716804,0.33996526141716804,0.0,0.0,0.0,0.0,0.09128271901852654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15329641669262428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447315905107192,0.0,0.1252735899518925,0.0,0.0,0.08816311166997721,0.08816311166997721,0.18559626880204905,0.0,0.0,0.1672426051849736,0.0,0.2026748810838055,0.0,0.0,0.0,0.0,0.0,0.0,0.08816311166997721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1466068467342678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08114541777507882,0.0,0.0,0.0,0.0,0.0,0.0,0.10438874639896228,0.0,0.0,0.0
4800,24,9.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254288520966208,0.254288520966208,0.12061414481778433,0.12061414481778433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878850817079445,0.0,0.0,0.0,0.0,0.0,0.0,0.254288520966208,0.3431491488774593,0.0,0.0,0.0,0.1382648749098417,0.0,0.0,0.0,0.31799969701856656,0.0,0.0,0.0,0.0,0.13209270585157323,0.13209270585157323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31799969701856656,0.31799969701856656,0.0,0.0,0.0,0.0,0.08538483276178786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14339175084853156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10707691057390122,0.24113181270332587,0.0,0.0,0.0,0.0824667869958169,0.0824667869958169,0.17360467066782367,0.0,0.0,0.15643685933003873,0.0,0.18957981327050213,0.0,0.0,0.0,0.0,0.0,0.0,0.0824667869958169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13713440205038036,0.0,0.0,0.12061414481778433,0.0,0.0,0.0,0.0,0.0,0.22866246752113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,24,10.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4318632861095099,0.4318632861095099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4318632861095099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12890676038563686,0.6510494247435957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3492,24,6.9,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14916378842445135,0.14916378842445135,0.17582697990292334,0.17582697990292334,0.0,0.0,0.0,0.0,0.0,0.10868768131096108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17099248665023797,0.0,0.0,0.0,0.0,0.0,0.2863871138927915,0.0,0.0,0.16335935107631025,0.16335935107631025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17582697990292334,0.17582697990292334,0.0,0.0,0.17582697990292334,0.17582697990292334,0.0,0.0,0.10559561772773551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17733290583533826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13242225991088116,0.0,0.14491617097050247,0.0,0.0,0.1019868638630397,0.1019868638630397,0.3220459391903787,0.0,0.26251572088092945,0.19346582129437687,0.0,0.23445378814358236,0.0,0.0,0.0,0.0,0.0,0.0,0.1019868638630397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16959442828251484,0.0,0.0,0.14916378842445135,0.0,0.0,0.0,0.0,0.0,0.2827873959348947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17582697990292334,0.17582697990292334,0.0,0.0,0.0,0.0,0.09386881337304986,0.0,0.0,0.0,0.0,0.0,0.0,0.12075663694444887,0.0,0.0,0.0
12000,25,8.5,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1471468757958138,0.1471468757958138,0.0,0.0,0.18788028039470425,0.18788028039470425,0.15424422639708213,0.16030768901326342,0.0,0.10721806486229842,0.3077104844667551,0.22468065313308422,0.0,0.16373122368811746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15581855521618482,0.15581855521618482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416781050204467,0.0,0.30773613575732095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17850787558051992,0.0,0.23845440433899276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13063171723864103,0.0,0.14295669234360878,0.0,0.0,0.10060785226878347,0.10060785226878347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10060785226878347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16730126351536484,0.0,0.0,0.1471468757958138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26174761360240506,0.0,0.0,0.18788028039470425,0.18788028039470425,0.0,0.0,0.16868041808876083,0.17850787558051992,0.0,0.0,0.0,0.0,0.0,0.18788028039470425,0.18788028039470425,0.09259956969717463,0.0,0.0,0.0,0.0,0.0,0.0,0.11912383056015396,0.0,0.0,0.0
8500,19,8.1,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1471468757958138,0.1471468757958138,0.0,0.0,0.18788028039470425,0.18788028039470425,0.15424422639708213,0.16030768901326342,0.0,0.10721806486229842,0.3077104844667551,0.22468065313308422,0.0,0.16373122368811746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15581855521618482,0.15581855521618482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416781050204467,0.0,0.30773613575732095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17850787558051992,0.0,0.23845440433899276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13063171723864103,0.0,0.14295669234360878,0.0,0.0,0.10060785226878347,0.10060785226878347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10060785226878347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16730126351536484,0.0,0.0,0.1471468757958138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26174761360240506,0.0,0.0,0.18788028039470425,0.18788028039470425,0.0,0.0,0.16868041808876083,0.17850787558051992,0.0,0.0,0.0,0.0,0.0,0.18788028039470425,0.18788028039470425,0.09259956969717463,0.0,0.0,0.0,0.0,0.0,0.0,0.11912383056015396,0.0,0.0,0.0
8599,24,8.4,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16166334667619878,0.16166334667619878,0.1751134916056122,0.1751134916056122,0.14376306543537032,0.14941450531883738,0.0,0.09993241260759422,0.28680102683169517,0.20941321560574386,0.0,0.15260540491344685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14523041589849098,0.14523041589849098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16166334667619878,0.16166334667619878,0.0,0.0,0.16166334667619878,0.16166334667619878,0.0,0.0,0.0970894282870091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26164489888862213,0.1663779578481305,0.0,0.0,0.0,0.0,0.2480197556590789,0.0,0.0,0.0,0.0,0.12175506696092975,0.0,0.13324253877036604,0.0,0.0,0.09377137534985751,0.09377137534985751,0.09870124281977086,0.17349888826621818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09377137534985751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15593285438290166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1751134916056122,0.1751134916056122,0.0,0.0,0.15721829302661594,0.1663779578481305,0.0,0.16166334667619878,0.16166334667619878,0.0,0.0,0.1751134916056122,0.1751134916056122,0.08630726937805099,0.0,0.0,0.0,0.0,0.0,0.0,0.11102916101147077,0.0,0.0,0.0
5499,24,8.5,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1612504528524386,0.1612504528524386,0.0,0.0,0.20588802943889004,0.20588802943889004,0.1690280627562678,0.17567268968038824,0.0,0.11749458776820061,0.33720359130532856,0.24621560511529544,0.0,0.17942435966108342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1707532861675431,0.1707532861675431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1141519758761985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19170209924019183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1431523669646396,0.0,0.15665865315877447,0.0,0.0,0.11025080655714548,0.11025080655714548,0.11604705154928643,0.20398967485281405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11025080655714548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18333657686400726,0.0,0.0,0.1612504528524386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2868353201395914,0.0,0.0,0.20588802943889004,0.20588802943889004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20588802943889004,0.20588802943889004,0.10147495464552131,0.0,0.0,0.0,0.0,0.0,0.0,0.13054148461838064,0.0,0.0,0.0
6499,24,7.5,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903442060231476,0.12903442060231476,0.15209946541093294,0.15209946541093294,0.16475390994350148,0.16475390994350148,0.13525815126389504,0.14057525624007156,0.0,0.09402048669253275,0.26983409509503775,0.19702448822499544,0.0,0.14357738462908823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13663869438390208,0.13663869438390208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15209946541093294,0.15209946541093294,0.0,0.0,0.15209946541093294,0.15209946541093294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15653516375328827,0.0,0.2091028147050022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11455212932664248,0.0,0.12536001099593655,0.0,0.0,0.08822393173715672,0.08822393173715672,0.09286215197778078,0.16323482531596112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08822393173715672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1467079847056762,0.0,0.0,0.12903442060231476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22952883968866267,0.0,0.0,0.16475390994350148,0.16475390994350148,0.0,0.0,0.14791737777186761,0.15653516375328827,0.0,0.15209946541093294,0.15209946541093294,0.0,0.0,0.16475390994350148,0.16475390994350148,0.08120139662685599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32057182159406006
5000,24,7.2,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2151576344769454,0.2151576344769454,0.10205358065259576,0.10205358065259576,0.12029577060194811,0.12029577060194811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2151576344769454,0.0,0.0,0.3243578666232992,0.0,0.11698814914577114,0.0,0.0,0.0,0.2690646920078329,0.0,0.0,0.15906072997634776,0.15906072997634776,0.0,0.0,0.0,0.0,0.15906072997634776,0.15906072997634776,0.0,0.0,0.15906072997634776,0.0,0.30488701859780115,0.0,0.0,0.0,0.0,0.0,0.0,0.12029577060194811,0.12029577060194811,0.2690646920078329,0.2690646920078329,0.12029577060194811,0.12029577060194811,0.0,0.0,0.07224548936551163,0.0,0.0,0.2312235227197419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09059950759335118,0.0,0.09914748276518862,0.0,0.0,0.06977648360026432,0.06977648360026432,0.07344486124090867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06977648360026432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11603163775721967,0.0,0.0,0.10205358065259576,0.0,0.0,0.0,0.0,0.0,0.1934750157756692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12029577060194811,0.12029577060194811,0.0,0.0,0.0,0.0,0.0642223465729547,0.0,0.0,0.0,0.0,0.0,0.0,0.08261822334975244,0.0,0.0,0.0
